Date,Time,CO,NO,NO2,O3,PM25,SO2,PM10,WSPD_SCLR,WDIR_SCLR,WSPD_VECT,WDIR_VECT,TEMP_MEAN,TEMP_10M,HUMIDITY,RAD_TOTAL,PRECIP_TOTAL,NOx
,,ppm,ppb,ppb,ppb,ug/m3,ppb,ug/m3,m/s,Deg.,m/s,Deg.,°C,kPa,% RH,W/M**2,mm,ppb
12/31/2022,24:00 AM,0.23,2.7,16.7,6.8,5.2,0.2,5.9,1.22,317.8,0.76,284.3,4.4,101.6,99.6,0,0,19.5
1/1/2023,1:00 AM,0.29,7.3,22,3.7,8.7,0.3,9,0.95,191.2,0.46,184,4.2,101.7,99.6,0,0,29.3
1/1/2023,2:00 AM,0.31,17.5,23.5,1.9,21.4,0.4,12.1,0.97,318.4,0.84,321.6,4,101.8,99.6,0,0,41
1/1/2023,3:00 AM,0.29,4.8,19.5,2.3,21.6,0.3,15.1,1.06,10.9,0.81,4.6,4.2,101.8,99.7,0,0,24.3
1/1/2023,4:00 AM,0.29,7.3,19,1.5,15.2,0.3,12.1,1.01,221.2,0.69,234.7,4.4,101.9,99.4,0,0,26.3
1/1/2023,5:00 AM,0.17,1.2,9.6,8.5,5.5,0.3,6.9,1.39,305.7,1.16,295.8,4.5,101.9,99.5,0,0,10.8
1/1/2023,6:00 AM,0.22,2.3,14.2,4.5,5.8,0.3,8,1.53,37,1.3,41.8,4.5,102,93.7,0,0,16.5
1/1/2023,7:00 AM,0.21,0.8,15.2,7.5,1.5,0.4,4.5,1.68,61,1.62,62,4.6,102,92.7,0,0,16
1/1/2023,8:00 AM,0.22,1.3,17.7,4.5,1.5,0.4,5.2,1.24,52.9,1.18,50,4.6,102,94.9,0,0,19
1/1/2023,9:00 AM,0.22,2.1,16.5,4.3,1.7,0.3,4.3,1.18,1.4,1.1,358.7,4.5,102.1,95.6,7.6,0,18.6
1/1/2023,10:00 AM,0.23,3.8,14.1,8.6,2.3,0.4,3.5,1.51,53.6,1.45,53.2,4.7,102.1,92.1,65.9,0,17.9
1/1/2023,11:00 AM,0.2,1.8,9.9,14.9,6.7,0.4,6.4,1.29,78.3,1.13,82.3,5.3,102.1,92.5,59.8,0,11.7
1/1/2023,12:00 PM,0.19,2.8,11.7,12.4,4.8,0.3,7,1.65,122.7,1.38,116.4,5.4,102.1,93.8,70.9,0,14.4
1/1/2023,1:00 PM,0.18,2.5,9.4,17.1,5.9,0.4,3.5,2.04,66.6,1.79,68.5,5.7,102.1,90.6,144,0,11.9
1/1/2023,2:00 PM,0.17,2.1,8.1,19.5,7.4,0.9,5.3,2.18,113.2,2.08,113.1,6.2,102,85.6,99.9,0,10.2
1/1/2023,3:00 PM,0.18,1.8,7.8,18.6,10.8,0.7,9.2,2.32,100.5,2.13,101.5,6.4,102,90.8,85.2,0,9.6
1/1/2023,4:00 PM,0.21,1.7,10.1,15.7,6.9,0.5,6.6,2.14,106.8,2.08,106.5,6,101.9,92.5,26.4,0,11.8
1/1/2023,5:00 PM,0.25,0.7,14.3,11.8,5.1,0.5,9.2,1.3,89.6,1.25,90,5.8,101.9,92.4,0,0,15.1
